id_regional;denominacion;estado;id_usuario_inserta
5;VENTAS;1;1
5;SERVICIOS TERMINADOS;1;1
5;SERVICIOS LOCALES;1;1
5;TERCEROS;1;1
5;COLEGIATURAS;1;1
5;CUOTA GREMIAL (APORTACION MENSUAL);1;1
5;CERTIFICADOS DE HABILITACION PROFESIONAL;1;1
5;INSCRIPCION EN LA REGIONAL LIMA;1;1
5;DELEGATURA MUNICIPAL;1;1
5;INSPECCIONES TECNICAS;1;1
5;HABILITACION DE OBRA;1;1
5;OTROS;1;1
5;REVISORES URBANOS CODIO AP;1;1
5;OTROS INGRESOS DE GESTION;1;1
5;ALQUILERES;1;1
5;ACTIVO FIJO Y BIENES TRANSFERIDOS A TITULO GRATUITO;1;1
5;OTROS INGRESOS DE GESTION;1;1
5;DONACIONES;1;1
5;OTROS INGRESOS DE GESTION;1;1
5;VENTA DE LIBROS, SEPARATA, FOLLETOS;1;1
5;MULTAS POR NO VOTAR;1;1
5;MATERIAL PARA NUEVOS COLEGIADO;1;1
5;SEGURO ONCOLOGICO;1;1
5;FOTOCOPIAS;1;1
5;AUSPICIOS;1;1
5;INGRESOS POR DEVOLUCION, GASTOS;1;1
5;OTROS INGRESOS;1;1
5;EVENTOS - CENAS;1;1
5;AJUSTE POR REDONDEO;1;1
5;ALERTA MÉDICA - BUSQUEDA DE DOCUMENTOS;1;1
5;MERCHANDISING;1;1
5;OTROS;1;1
5;DEPÓSITOS NO IDENTIFICADOS;1;1
5;COORDINACION DE EMPRESAS DE SEGUROS O,R,S.;1;1
5;EVALUACION Y SELECCIÓN DE PERITOS;1;1
5;SUSCRIPCION DE NORMAS Y REGLAMENTOS;1;1
5;SEGURO PRIVADO DE SALUD;1;1
5;CURSOS Y ACTIVIDADES CULTURALES;1;1
5;BASES;1;1
5;CONSULTA DE COLEGIADOS;1;1
5;TRAMITE DE EXPEDIENTE GREMIAL;1;1
5;TRAMITE DE EXPEDIENTE TECNICO;1;1
5;INGRESOS POR FONDO DE DESARROLLO INSTITUCIONAL Y OTROS;1;1
